word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,instructions.started,text2.started,text2.stopped,instructions.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,THANKYOU.started,text3.started,text3.stopped,THANKYOU.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,False,0.059094500029459596,0.06271020002895966,1.0130786999943666,0.996153799991589,,,,,,,,,,,,,,,3N,001,2026-09-07_20h39.43.130,TUTORIAL 0.1,,2026.2.3,59.93475503820262,2026-09-07 20h39.43.217777 +0530,
RED,red,C,r,0,0,0,r,1,1.0735113000264391,None,0,0,0,0,1.0130786999943666,,,,,,,1.0032325999927707,1.0130786999943666,1.512422300002072,1.512422300002072,1.512422300002072,2.5986526000197046,r,1,1.0735113000264391,None,,,,,3N,001,2026-09-07_20h39.43.130,TUTORIAL 0.1,,2026.2.3,59.93475503820262,2026-09-07 20h39.43.217777 +0530,
BLUE,blue,C,b,1,1,0,b,1,0.8071553999907337,None,0,1,1,3,2.612991600006353,,,,,,,2.6012980000232346,2.612991600006353,3.1127529999939725,3.1127529999939725,3.1127529999939725,3.9293617000221275,b,1,0.8071553999907337,None,,,,,3N,001,2026-09-07_20h39.43.130,TUTORIAL 0.1,,2026.2.3,59.93475503820262,2026-09-07 20h39.43.217777 +0530,
RED,blue,I,b,2,2,0,b,1,0.6761451999773271,None,0,2,2,1,3.946041700022761,,,,,,,3.9305938000325114,3.946041700022761,4.4292308000149205,4.4292308000149205,4.4292308000149205,5.112565600022208,b,1,0.6761451999773271,None,,,,,3N,001,2026-09-07_20h39.43.130,TUTORIAL 0.1,,2026.2.3,59.93475503820262,2026-09-07 20h39.43.217777 +0530,
BLUE,red,I,r,3,3,0,r,1,1.1519680000492372,None,0,3,3,2,5.1289733000448905,,,,,,,5.114023800007999,5.1289733000448905,5.612436900031753,5.612436900031753,5.612436900031753,6.77919590001693,r,1,1.1519680000492372,None,,,,,3N,001,2026-09-07_20h39.43.130,TUTORIAL 0.1,,2026.2.3,59.93475503820262,2026-09-07 20h39.43.217777 +0530,
BLUE,blue,C,b,4,0,1,b,1,1.2621942999539897,None,1,0,4,3,6.7956223000073805,,,,,,,6.7794792000204325,6.7956223000073805,7.283325000025798,7.283325000025798,7.283325000025798,8.546073100005742,b,1,1.2621942999539897,None,,,,,3N,001,2026-09-07_20h39.43.130,TUTORIAL 0.1,,2026.2.3,59.93475503820262,2026-09-07 20h39.43.217777 +0530,
RED,red,C,r,5,1,1,r,1,1.1789835000527091,None,1,1,5,0,8.562505900044926,,,,,,,8.547630200046115,8.562505900044926,9.046149000001606,9.046149000001606,9.046149000001606,10.22925800003577,r,1,1.1789835000527091,None,,,,,3N,001,2026-09-07_20h39.43.130,TUTORIAL 0.1,,2026.2.3,59.93475503820262,2026-09-07 20h39.43.217777 +0530,
BLUE,red,I,r,6,2,1,r,1,0.7358566999901086,None,1,2,6,2,10.245868300029542,,,,,,,10.23057830001926,10.245868300029542,10.73367500002496,10.73367500002496,10.73367500002496,11.479344599996693,r,1,0.7358566999901086,None,,,,,3N,001,2026-09-07_20h39.43.130,TUTORIAL 0.1,,2026.2.3,59.93475503820262,2026-09-07 20h39.43.217777 +0530,
RED,blue,I,b,7,3,1,b,1,1.4547478000167757,None,1,3,7,1,11.495569800026715,,,,,,,11.480752400006168,11.495569800026715,11.980047999997623,11.980047999997623,11.980047999997623,13.44592610001564,b,1,1.4547478000167757,None,,,,,3N,001,2026-09-07_20h39.43.130,TUTORIAL 0.1,,2026.2.3,59.93475503820262,2026-09-07 20h39.43.217777 +0530,
BLUE,red,I,r,8,0,2,r,1,1.2495225999737158,None,2,0,8,2,13.465867199993227,,,,,,,13.447217700013425,13.465867199993227,13.948283600038849,13.948283600038849,13.948283600038849,15.213155400007963,r,1,1.2495225999737158,None,,,,,3N,001,2026-09-07_20h39.43.130,TUTORIAL 0.1,,2026.2.3,59.93475503820262,2026-09-07 20h39.43.217777 +0530,
